INFO 2026-07-01 15:12:18,894 audit AUDIT | user=gerant | role=GERANT | action=create | path=/sonas/sinistres/nouveau/ | status=403 | POST /sonas/sinistres/nouveau/
INFO 2026-07-01 15:12:22,911 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/nouveau/ | status=403
INFO 2026-07-01 15:12:22,917 audit AUDIT | user=gerant | role=GERANT | action=create | path=/sonas/sinistres/nouveau/ | status=403 | POST /sonas/sinistres/nouveau/
INFO 2026-07-01 15:12:26,741 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/nouveau/ | status=403
INFO 2026-07-01 15:12:26,756 audit AUDIT | user=gerant | role=GERANT | action=create | path=/sonas/sinistres/nouveau/ | status=403 | POST /sonas/sinistres/nouveau/
INFO 2026-07-01 15:12:53,465 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/nouveau/ | status=403
INFO 2026-07-01 15:12:53,472 audit AUDIT | user=gerant | role=GERANT | action=create | path=/sonas/sinistres/nouveau/ | status=403 | POST /sonas/sinistres/nouveau/
INFO 2026-07-01 15:18:12,328 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/5/statut/ | status=302
INFO 2026-07-01 15:18:12,334 audit AUDIT | user=gerant | role=GERANT | action=update_status | path=/sonas/sinistres/5/statut/ | status=302 | statut=EN_COURS
INFO 2026-07-01 15:18:54,813 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/5/traiter/ | status=302
INFO 2026-07-01 15:18:54,819 audit AUDIT | user=gerant | role=GERANT | action=traiter | path=/sonas/sinistres/5/traiter/ | status=302 | POST /sonas/sinistres/5/traiter/
INFO 2026-07-01 15:19:20,226 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/5/valider/ | status=302
INFO 2026-07-01 15:19:20,232 audit AUDIT | user=gerant | role=GERANT | action=validate | path=/sonas/sinistres/5/valider/ | status=302 | statut=VALIDE | motif_rejet=
INFO 2026-07-01 15:19:29,000 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/5/valider/ | status=302
INFO 2026-07-01 15:19:29,016 audit AUDIT | user=gerant | role=GERANT | action=validate | path=/sonas/sinistres/5/valider/ | status=302 | statut=VALIDE | motif_rejet=
INFO 2026-07-01 15:20:36,588 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/5/valider/ | status=302
INFO 2026-07-01 15:20:36,604 audit AUDIT | user=gerant | role=GERANT | action=validate | path=/sonas/sinistres/5/valider/ | status=302 | statut=VALIDE | motif_rejet=
INFO 2026-07-01 15:22:11,989 audit AUDIT | user=gerant | role=GERANT | action=upload | path=/sonas/documents/upload/ | status=302 | POST /sonas/documents/upload/
INFO 2026-07-01 15:22:16,318 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/5/valider/ | status=302
INFO 2026-07-01 15:22:16,333 audit AUDIT | user=gerant | role=GERANT | action=validate | path=/sonas/sinistres/5/valider/ | status=302 | statut=VALIDE | motif_rejet=
INFO 2026-07-01 15:57:05,876 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/5/valider/ | status=302
INFO 2026-07-01 15:57:05,883 audit AUDIT | user=gerant | role=GERANT | action=cloturer | path=/sonas/sinistres/5/valider/ | status=302 | motif_rejet=
INFO 2026-07-01 16:03:43,009 middleware CRITICAL ACTION | user=agent | path=/sonas/sinistres/8/statut/ | status=302
INFO 2026-07-01 16:03:43,016 audit AUDIT | user=agent | role=AGENT | action=update_status | path=/sonas/sinistres/8/statut/ | status=302 | statut=EN_COURS
INFO 2026-07-01 16:04:00,868 middleware CRITICAL ACTION | user=agent | path=/sonas/sinistres/8/traiter/ | status=302
INFO 2026-07-01 16:04:00,874 audit AUDIT | user=agent | role=AGENT | action=traiter | path=/sonas/sinistres/8/traiter/ | status=302 | POST /sonas/sinistres/8/traiter/
INFO 2026-07-01 16:04:11,292 middleware CRITICAL ACTION | user=agent | path=/sonas/sinistres/8/valider/ | status=302
INFO 2026-07-01 16:04:11,299 audit AUDIT | user=agent | role=AGENT | action=cloturer | path=/sonas/sinistres/8/valider/ | status=302 | motif_rejet=
INFO 2026-07-01 16:18:29,460 middleware CRITICAL ACTION | user=agent | path=/sonas/sinistres/9/statut/ | status=302
INFO 2026-07-01 16:18:29,466 audit AUDIT | user=agent | role=AGENT | action=update_status | path=/sonas/sinistres/9/statut/ | status=302 | statut=EN_COURS
INFO 2026-07-01 16:18:57,870 middleware CRITICAL ACTION | user=agent | path=/sonas/sinistres/9/traiter/ | status=200
INFO 2026-07-01 16:18:57,886 audit AUDIT | user=agent | role=AGENT | action=traiter | path=/sonas/sinistres/9/traiter/ | status=200 | POST /sonas/sinistres/9/traiter/
INFO 2026-07-01 16:19:35,108 middleware CRITICAL ACTION | user=agent | path=/sonas/sinistres/9/traiter/ | status=302
INFO 2026-07-01 16:19:35,113 audit AUDIT | user=agent | role=AGENT | action=traiter | path=/sonas/sinistres/9/traiter/ | status=302 | POST /sonas/sinistres/9/traiter/
INFO 2026-07-01 16:20:08,289 middleware CRITICAL ACTION | user=gerant | path=/sonas/sinistres/9/valider/ | status=302
INFO 2026-07-01 16:20:08,295 audit AUDIT | user=gerant | role=GERANT | action=cloturer | path=/sonas/sinistres/9/valider/ | status=302 | motif_rejet=
